author	year	paper_id	bee_id	bee_genus	bee_species	top5position	controlled_for_contamination	genus	average_relative_abundance
Cohen	2020	1	1	Osmia	lignaria	Genus_148	Yes	Deinococcus	0.0003621564
Cohen	2020	1	1	Osmia	lignaria	Genus_149	Yes	Polyangiaceae_unclassified	0.0003603466
Cohen	2020	1	1	Osmia	lignaria	Genus_150	Yes	Spirosoma	0.0003567055
Cohen	2020	1	1	Osmia	lignaria	Genus_151	Yes	alphaI cluster	0.0003566411
Cohen	2020	1	1	Osmia	lignaria	Genus_152	Yes	Lacibacter	0.0003531288
Cohen	2020	1	1	Osmia	lignaria	Genus_153	Yes	Rhizobiaceae_unclassified	0.0003483896
Cohen	2020	1	1	Osmia	lignaria	Genus_154	Yes	Leptothrix	0.0003322086
Cohen	2020	1	1	Osmia	lignaria	Genus_155	Yes	mle1-7	0.0003313374
Cohen	2020	1	1	Osmia	lignaria	Genus_156	Yes	Leifsonia	0.0003250644
Cohen	2020	1	1	Osmia	lignaria	Genus_157	Yes	Pajaroellobacter	0.0003190092
Cohen	2020	1	1	Osmia	lignaria	Genus_158	Yes	Microscillaceae_unclassified	0.0003147025
Cohen	2020	1	1	Osmia	lignaria	Genus_159	Yes	Hirschia	0.0003108037
Cohen	2020	1	1	Osmia	lignaria	Genus_160	Yes	Nocardia	0.0003075184
Cohen	2020	1	1	Osmia	lignaria	Genus_161	Yes	Rhodopseudomonas	0.0003039325
Cohen	2020	1	1	Osmia	lignaria	Genus_162	Yes	Streptomycetaceae_unclassified	0.0003031902
Cohen	2020	1	1	Osmia	lignaria	Genus_163	Yes	Tumebacillus	0.0002899325
Cohen	2020	1	1	Osmia	lignaria	Genus_164	Yes	Rhodanobacteraceae_unclassified	0.0002847546
Cohen	2020	1	1	Osmia	lignaria	Genus_165	Yes	Paenisporosarcina	0.0002775828
Cohen	2020	1	1	Osmia	lignaria	Genus_166	Yes	Acidiphilium	0.0002741380
Cohen	2020	1	1	Osmia	lignaria	Genus_167	Yes	Candidatus Solibacter	0.0002723252
Cohen	2020	1	1	Osmia	lignaria	Genus_168	Yes	Knoellia	0.0002705521
Cohen	2020	1	1	Osmia	lignaria	Genus_169	Yes	Geodermatophilaceae_unclassified	0.0002682055
Cohen	2020	1	1	Osmia	lignaria	Genus_170	Yes	Hyphomicrobium	0.0002670613
Cohen	2020	1	1	Osmia	lignaria	Genus_171	Yes	Anaeromyxobacter	0.0002645000
Cohen	2020	1	1	Osmia	lignaria	Genus_172	Yes	Beijerinckiaceae_unclassified	0.0002589693
Cohen	2020	1	1	Osmia	lignaria	Genus_173	Yes	Algoriphagus	0.0002494785
Cohen	2020	1	1	Osmia	lignaria	Genus_174	Yes	Pontibacter	0.0002431135
